Sentence,"Aspect Term","True Polarity",Gemini_Polarity
"I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.","Intel Core processors",neutral,Neutral
"I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.","HDMI port",neutral,Neutral
"The Apple will run Internet Explorer, but at an amazingly slow rate.","Internet Explorer",conflict,Negative
"With today's company fighting over marketshare, its a shame that ASUS can get away with the inept staff answering thephone.",staff,negative,Negative
"The price premium is a little much, but when you start looking at the features it is worth the added cash.","price premium",negative,Negative
"The price premium is a little much, but when you start looking at the features it is worth the added cash.",features,positive,Positive
"I can't say enough of how satisfied I am with their product and help aftermarket.","product and help aftermarket",positive,Positive
"Microsoft word was not on it andI had to buy it seperately.","Microsoft word",negative,Negative
"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.","usb ports",neutral,Neutral
"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.","sd memory card reader",neutral,Neutral
"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.","sd memory car expansion",neutral,Neutral
"I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.","LaCie 2Big external drive",neutral,Neutral
"I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.","firewire 800 interface",positive,Positive
"I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.","Time Machine",neutral,Neutral
"My Toshiba did not have sound on everything, just certain things.",sound,negative,Negative
"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.","extra features",positive,Positive
"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.","windows 7 home premium",positive,Positive
"The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.","Acer screen",negative,Negative
"The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.","USB port",negative,Negative
"The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.",boot,negative,Negative
"The battery life was shorter than expected.","battery life",negative,Negative
"It fires up in the morning in less than 30 seconds and I have never had any issues with it freezing.","fires up",positive,Positive
"The keyboard is top notch.",keyboard,positive,Positive
"It drives me crazy when I want to download a game or something of that nature and I can't play it because its not compatable with the software.",software,negative,Negative
"The online tutorial videos make it super easy to learn if you have always used a PC.","online tutorial videos",positive,Positive
"The image is great, and the soud is excelent.",image,positive,Positive
"The image is great, and the soud is excelent.",soud,positive,Positive
"With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.",windows,negative,Negative
"With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.",windows,negative,Negative
"With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.","boot up",negative,Positive
"With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.","shut down",negative,Positive
"With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.",windows,negative,Negative
"With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.",windows,negative,Negative
"It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.","Mac OS",positive,Positive
"It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.",use,positive,Positive
"It is well worth the money it cost, Very good investment.",cost,positive,Positive
"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;","Windows 7 Starter",neutral,Positive
"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;","Windows 7 Home Premium",neutral,Positive
"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;","Windows 7 Professional",neutral,Positive
"This computer had exactly the specifications I needed.",specifications,positive,Positive
"My kids (and dogs) destroyed two power cords by pulling on them.","power cords",neutral,Neutral
"I had upgraded my old MacBook to Lion, so I kind of knew what I was getting, but hadn't been able to enjoy some of the awesome new multi-touch features.","multi-touch features",positive,Positive
"The screen is a little glary, and I hated the clicking buttons, but I got used to them.",screen,negative,Negative
"The screen is a little glary, and I hated the clicking buttons, but I got used to them.","clicking buttons",negative,Negative
"Not to mention, the battery life is absolutely amazing.","battery life",positive,Positive
"Windows also shuts the computer down for no reason without warning.",Windows,negative,Negative
"not using wired lan not sure what thats about.","wired lan",neutral,Neutral
"The macbook rarely requires a hard reboot.","hard reboot",conflict,Positive
"Now for the hardware problems.",hardware,negative,Negative
"Anyways I bought this two months ago and when I first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone.","hard drive",negative,Negative
"It's fast and has excellent battery life.","battery life",positive,Positive
"Apple care included.","Apple care",neutral,Positive
"Features like the font are very block-like and old school.",font,negative,Negative
"Features like the font are very block-like and old school.",Features,negative,Negative
"It is loaded with programs that is of no good for the average user, that makes it run way to slow.",programs,negative,Negative
"It is loaded with programs that is of no good for the average user, that makes it run way to slow.",run,negative,Negative
"Finally, I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time.","2GB RAM stick",neutral,Neutral
"Windows is also rather unsteady on its feet and is susceptible to many bugs.",Windows,negative,Negative
"After sending out documents via email and having recipients tell me they could not open the documents or they came through as gibberish, I broke down and spent another $100 to get Microsoft Word for Mac.","Microsoft Word for Mac",neutral,Negative
"DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE.","WARRANTY COMPANY",negative,Negative
"then on top of it all their cusromer service center is in the middle east.","cusromer service center",negative,Negative
"The only bad part is the size/weight.",size,negative,Negative
"The only bad part is the size/weight.",weight,negative,Negative
"The little battery that it did have would only last about an hour while just having it on the desktop.",battery,negative,Negative
"I liked the aluminum body.","aluminum body",positive,Positive
"Its good for playing my apps on Facebook or watching movies.","watching movies",positive,Positive
"Its good for playing my apps on Facebook or watching movies.",playing,positive,Positive
"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.","build quality",negative,Negative
"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",performance,negative,Negative
"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",dock,positive,Positive
"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",program,neutral,Neutral
"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",program,neutral,Neutral
"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",program,positive,Neutral
"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",program,positive,Neutral
"pretty much everything else about the computer is good it just stops working out of no were.",working,negative,Negative
"It was truly a great computer costing less than one thousand bucks before tax.",costing,positive,Positive
"Waiting for the i7 was well worth it, great value for the price.",price,positive,Positive
"Waiting for the i7 was well worth it, great value for the price.",i7,positive,Positive
"Now,,,,,my monitor has been acting up for about 2 months.",monitor,negative,Negative
"Also, the extended warranty was a problem.","extended warranty",negative,Negative
"Boots up fast and runs great!","Boots up",positive,Positive
"Boots up fast and runs great!",runs,positive,Positive
"Lightweight and the screen is beautiful!",screen,positive,Positive
"I needed a driver for my HP and they would not help me with out me paying over $50 for it.",driver,neutral,Negative
"Call tech support, standard email the form and fax it back in to us.","tech support",neutral,Negative
"They sent it back with a huge crack in it and it still didn't work.",work,negative,Negative
"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.","twin packing",positive,Positive
"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.","twin packing",positive,Positive
"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",functions,positive,Positive
"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",functions,positive,Positive
"They say sorry out of warranty.",warranty,negative,Negative
"I bought this laptop because of the performance to price ratio.",performance,positive,Positive
"I bought this laptop because of the performance to price ratio.",price,positive,Positive
"PC never worked right even after BIOS fixed.",BIOS,negative,Negative
"After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.",design,positive,Positive
"After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.","tech issues",positive,Positive
"The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.",size,positive,Positive
"The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.",space,negative,Negative
"The service I received from Toshiba went above and beyond the call of duty.",service,positive,Positive
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",memory,negative,Positive
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",speed,negative,Positive
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",priced,negative,Negative
"I would recommend it just because of the internet speed probably because thats the only thing i really care about.","internet speed",positive,Positive
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",programs,neutral,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Garageband,neutral,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.","Photo Booth",neutral,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",iPhoto,neutral,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",iMovie,neutral,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",video-editing,neutral,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",movie-making,neutral,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.","photo management",neutral,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",music,neutral,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Pages,neutral,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Numbers,neutral,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Keynote,neutral,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.","school or office use",neutral,Neutral
"The screen shows great colors.",screen,positive,Positive
"The screen shows great colors.",colors,positive,Positive
"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",value,positive,Positive
"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",value,positive,Positive
"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",price,positive,Positive
"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",value,positive,Positive
"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",value,positive,Positive
"I have no idea how to burn cd's or to use the web cam, just for starters.","web cam",neutral,Negative
"I have no idea how to burn cd's or to use the web cam, just for starters.","burn cd's",neutral,Negative
"The 17 inch screen is very large, but the computer is very light.","17 inch screen",negative,Positive
"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.",Bluetooth,neutral,Negative
"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.","Drivers/Applications DVD",neutral,Neutral
"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.","Launch Manager",neutral,Neutral
"I also liked the glass screen.","glass screen",positive,Positive
"The switchable graphic card is pretty sweet when you want gaming on the laptop.","switchable graphic card",positive,Positive
"The switchable graphic card is pretty sweet when you want gaming on the laptop.",gaming,neutral,Positive
"It's not a wear-and-tear issue, not due to user carelessness and most importantly, they CAN'T guarantee the problem will be solved if it is sent for service and I have to accept the outcome.",service,negative,Negative
"The battery life has not decreased since I bought it, so i'm thrilled with that.","battery life",positive,Positive
"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.","technical support",negative,Negative
"I bought this notebook and only had it for 3 months If it is overload with updates the BOOT MGR.","BOOT MGR",neutral,Negative
"Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.","recovery cd",negative,Negative
"The price and features more than met my needs.",price,positive,Positive
"The price and features more than met my needs.",features,positive,Positive
"Skype is just so dang cool with this machine too.",Skype,positive,Positive
"the mouse buttons are hard to push.","mouse buttons",negative,Negative
"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",HDD,positive,Negative
"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",rails,neutral,Negative
"Also, HDD secures inside using rails, and there is only one set on the main hard drive.","hard drive",neutral,Negative
"All I will say now is that it was over two grand less expensive and so much better quality than my hunk of crap Vaio.",quality,positive,Positive
"(Beware, their staff could send you back making you feel that only they know what a computer is.",staff,negative,Negative
"Games being the main issue.",Games,negative,Negative
"My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit.",GarageBand,neutral,Neutral
"They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).",warranty,negative,Negative
"They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).","hard drive",neutral,Neutral
"A great computer for light home use and business use.","home use",positive,Positive
"A great computer for light home use and business use.","business use",positive,Positive
"Even with virus protection, it always turned off when updates were needed and installed.","virus protection",negative,Negative
"Even with virus protection, it always turned off when updates were needed and installed.",updates,negative,Negative
"Also consider the MS Office apps are all trial versions, hope you have your own copies.","MS Office apps",negative,Negative
"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",feature,positive,Positive
"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",Windows,positive,Positive
"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",games,neutral,Positive
"The battery life is amazingly long at 7hrs and 5hrs if you use it.","battery life",positive,Positive
"lightweight, long battery life, excellent transition from PC;","battery life",positive,Positive
"The price is another driving influence that made me purchase this laptop.",price,positive,Positive
"The Nortons virus scan is only for a very short time unlike others that usually are good for a year.","Nortons virus scan",negative,Negative
"It is stamped and not in pieces therefore it is a stronger more resilient frame.",frame,positive,Positive
"I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.",features,positive,Positive
"I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.",use,positive,Positive
"Came fully loaded - good.",loaded,positive,Positive
"When we bought our new HP comouter in Dec. of 2008, we wanted Windows XP, but were told it would cost an extra $159, so we went with Vista.","Windows XP",conflict,Positive
"When we bought our new HP comouter in Dec. of 2008, we wanted Windows XP, but were told it would cost an extra $159, so we went with Vista.",Vista,neutral,Negative
"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.","key broad",negative,Negative
"This is the complete opposite to an ergonomic design.",design,negative,Negative
"I would like at least a 4 hr. battery life.","battery life",neutral,Negative
"The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.",programs,negative,Negative
"Wireless has not been a issue for me, like some others have meantioned.",Wireless,positive,Positive
"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.","battery life",negative,Negative
"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",programs,negative,Negative
"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",trackpad,positive,Positive
"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",programs,positive,Positive
"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",navigating,positive,Positive
"I guess the only good thing that came out of these were the speakers and the subwoofer.",speakers,positive,Positive
"I guess the only good thing that came out of these were the speakers and the subwoofer.",subwoofer,positive,Positive
"Theres a built in camera with special effects- for video and photography.","built in camera",positive,Positive
"All for such a great price.",price,positive,Positive
"Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.","left mouse key",negative,Negative
"Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.",costed,neutral,Negative
"It has good speed and plenty of hard drive space.",speed,positive,Positive
"It has good speed and plenty of hard drive space.","hard drive space",positive,Positive
"Clear picture on it and everything.",picture,positive,Positive
"Very long-life battery (up to 10-11 hours depending on how you configure power level settings).",battery,positive,Positive
"Screen is awesome, battery life is good.",Screen,positive,Positive
"Screen is awesome, battery life is good.","battery life",positive,Positive
"The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.",appearance,positive,Positive
"The technical service for dell is so 3rd world it might as well not even bother.","technical service for dell",negative,Negative
"The graphics were awful and the warranty isn't even worth the cheap payment on the computer.",graphics,negative,Negative
"The graphics were awful and the warranty isn't even worth the cheap payment on the computer.",warranty,negative,Negative
"They gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die.",battery,negative,Negative
"If you don't feel comfortable doing it yourself, just buy the case and be happy, plus it looks nice, I bought the white one from Best Buy.",case,positive,Positive
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",performance,neutral,Negative
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",price,positive,Negative
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",look,positive,Positive
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",applications,positive,Positive
"Excellent speed for processing data.",speed,positive,Positive
"When you call tech support you were routed to someone who was in another country and did not know what they were doing.","tech support",negative,Negative
"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",gaming,positive,Positive
"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",use,positive,Positive
"I was taught to use Photoshop and was amazed.",Photoshop,positive,Positive
"Somehow the system clock got messed up after reboot.","system clock",negative,Negative
"the only problem is that i had to add 1 gb RAM, the computer was kinda slow.",RAM,negative,Negative
"With the macbook pro it comes with freesecuritysoftware to protect it from viruses and other intrusive things from downloads and internet surfing or emails.",securitysoftware,positive,Positive
"The driver updates don't fix the issue, very frustrating.","driver updates",negative,Negative
"I will never go back to Windows!",Windows,negative,Negative
"It doesnt work worth a damn.",work,negative,Negative
"It works really well.",works,positive,Positive
"Bigger HD, better graphics card, and a bid HD.",HD,positive,Positive
"Bigger HD, better graphics card, and a bid HD.",HD,positive,Positive
"Bigger HD, better graphics card, and a bid HD.",HD,positive,Positive
"Bigger HD, better graphics card, and a bid HD.",HD,positive,Positive
"Bigger HD, better graphics card, and a bid HD.","graphics card",positive,Positive
"The built in camera is very useful when chatting with other techs in remote buildings on our campus.","built in camera",positive,Positive
"Mine came at $1,700 w/o a DVD burner (!).","DVD burner",negative,Negative
"The DVD burner broke after burning 3 DVD'd during that time!","DVD burner",negative,Negative
"It works fine with our wireless and they've had not problems.",works,positive,Positive
"But you must get the 15 inch.","15 inch",positive,Positive
"Product support very poor as each phone call costs me long distan","Product support",negative,Negative
"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.",screen,positive,Positive
"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.",use,positive,Positive
"It does not keep internet signals no matter where you bring it.","internet signals",negative,Negative
"It's a great product for a great price!",price,positive,Positive
"Again, the same problem, the right speaker did not work.","right speaker",negative,Negative
"But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.","price tag",conflict,Negative
"But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.",software,positive,Positive
"But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.",updates,positive,Positive
"and the multiple page viewer ( allows you to press one button to see every separate page currently opened at the same time in one screen) are great for those who are working non stop or just shopping online.","multiple page viewer",positive,Positive
"This was the 3rd day and part still had not been shipped.",shipped,negative,Negative
"Keyboard good sized and wasy to use.",Keyboard,positive,Positive
"Keyboard good sized and wasy to use.",use,positive,Positive
"HP said it was out of warranty.",warranty,neutral,Neutral
"I never had this kind of quality issue with Dell (not to say Dell is that great), not with a brand new laptop.",quality,negative,Negative
"wonderful features.",features,positive,Positive
"I had to call HP and ask for a recovery disk because the computer does not come with one and completely redo it all.","recovery disk",negative,Negative
"Im glad that it has such great features in it.",features,positive,Positive
"I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.",programs,positive,Positive
"I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.",Office,negative,Negative
"I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.","Office programs",neutral,Positive
"Great wifi too.",wifi,positive,Positive
"WHEN TYPING, LETTERS AND SPACES ARE FREQUENTLY OMITTED REQUIRING THE USER TO REDO MANY WORDS AND SENTENCES.",TYPING,negative,Negative
"It is not ideal for children because of the temp.",temp,negative,Negative
"Although i do believe that Windows operating system may be to fault for some of the problems.","Windows operating system",negative,Negative
"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",OS,positive,Positive
"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.","processor speed",positive,Positive
"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.","thunderbolt port",positive,Positive
"Images are crisp and clean.",Images,positive,Positive
"although its windows vista compared to windows xp sucks.","windows vista",negative,Negative
"although its windows vista compared to windows xp sucks.","windows xp",positive,Positive
"with the switch being at the top you need to memorize the key combination rather than just flicking a switch.",switch,negative,Negative
"with the switch being at the top you need to memorize the key combination rather than just flicking a switch.",switch,negative,Negative
"with the switch being at the top you need to memorize the key combination rather than just flicking a switch.",switch,negative,Negative
"with the switch being at the top you need to memorize the key combination rather than just flicking a switch.",switch,negative,Negative
"One more tip, please purchase this model and get a 4GB stick of RAM to save you $10","4GB stick of RAM",positive,Neutral
"It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!",hardrive,negative,Negative
"It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!","touch control buttons",negative,Negative
"It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!",keyboard,negative,Negative
"I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.",performance,positive,Positive
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.","iLife software",positive,Positive
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iPhoto,positive,Positive
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iMovie,positive,Positive
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iWeb,positive,Positive
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iTunes,positive,Positive
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",GarageBand,positive,Positive
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",runs,positive,Positive
"At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.","system board",negative,Negative
"It has plenty of memory, lots of hard drive, and great graphics.",memory,positive,Positive
"It has plenty of memory, lots of hard drive, and great graphics.","hard drive",positive,Positive
"It has plenty of memory, lots of hard drive, and great graphics.",graphics,positive,Positive
"It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.",programs,positive,Positive
"It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.",navigation,positive,Positive
"However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD).",hinge,negative,Negative
"However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD).",LCD,neutral,Neutral
"My problem was with DELL Customer Service.","DELL Customer Service",negative,Negative
"Newegg's RMA service was great as always, I contacted them late Friday night, and they issued me an RMA number and a PrePaid UPS shipping label the very next morning on Saturday.","RMA service",positive,Positive
"Design: very durable.",Design,positive,Positive
"It is easy to go from one keyboard to another.",keyboard,neutral,Positive
"Has a 5-6 hour battery life.","battery life",neutral,Neutral
"My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60","screen/video resolution",negative,Negative
"My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60",resolution,negative,Negative
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",applications,neutral,Neutral
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Dreamweaver,neutral,Neutral
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.","Final Cut Pro 7",neutral,Neutral
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Photoshop,neutral,Neutral
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Safari,neutral,Neutral
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Firefox,neutral,Neutral
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.","MSN Messenger",neutral,Neutral
"Ive had to call tech support many times.","tech support",neutral,Negative
"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!","Apple applications",positive,Positive
"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!",iPhoto,positive,Positive
"Not to mention it has shit gigs.",gigs,negative,Negative
"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",memory,neutral,Neutral
"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.","17-inch screen",neutral,Neutral
"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",DVD,positive,Neutral
"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.","CD burners",positive,Neutral
"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.","web browsing",positive,Positive
"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.","uploading photos",positive,Positive
