Text,central body,political figure,affiliate,Stance
"As for the Congress, the results present a mixed bag. There was good news from the South, with Priyanka Gandhi's massive victory in her debut to the Lok Sabha from Wayanad in Kerala, a contest that she won by a record margin of more than 4,00,000 votes. Again, it showed that the BJP has failed to make much headway even against the Congress when faced with strong local leaders, like Karnataka CM Siddaramaiah and DK Shivakumar, and in Kerala, where it is unable to cross the political firewall created by the United Democratic Front and Left Democratic Front. In Rajasthan, however, the Congress was humiliated, finishing third in as many as four constituencies, allowing the BJP to win five out of the seven assembly bypolls. The party also lost in the sole assembly bypoll in Chhattisgarh but put up a slightly better fight in Madhya Pradesh where it defeated a BJP cabinet minister, and significantly reduced the victory margin of the BJP candidate standing from former CM Shivraj Singh Chauhanâ€™s constituency. For Prime Minister Modi and the BJP, with the NDA winning not just the prestigious state of Maharashtra but also bagging 26 out of the 46 assembly bypolls, along",,narendra modi,"bjp,nda",neutral
"The alliance of the Telugu Desam Party (TDP), Bharatiya Janata Party (BJP) and Jana Sena Party (JSP) defeated YS Jagan Mohan Reddyâ€™s Yuvajana Sramika Rythu Congress Party (YSRCP) in the assembly election of 2024 by a margin of 15.91 per cent vote share. The alliance has now formed the government, which N Chandrababu Naidu heads as the fourth-time chief minister of composite and residual Andhra Pradesh (AP). In the 2024 election, the alliance won 164 assembly and 21 Lok Sabha seats with a vote share of 53.48 per cent and the YSRCP has been reduced to 11 assembly and four Lok Sabha seats with a vote share of 39.37 per cent due to its failure in fulfilling the electoral promises. Advertisement In the 2019 election, the YSRCP secured 151 assembly seats with 50 per cent vote share by promising the Special Category Status (SCS) for the state and the Navaratnalu (nine jewels) welfare schemes. The SCS was promised on the floor of Parliament at the time of APâ€™s bifurcation in 2014. The YSRCP promised to relentlessly pursue this promise. Within a short time, however, the promise was set aside and the state entered a deep financial crisis. Another promise made",,n chandrababu naidu,"bjp, jsp",neutral
"The magnitude and brutality of the post-poll violence in West Bengal is an indicator of the extent of partisan polarisation, so much so that rivals are considered enemies. However, it would be inappropriate to describe the premeditated incidents merely as a collapse of law and order or a result of localised political rivalries. They are symptoms of a decline of democracy: Such incidents, which carry political patronage, betray the principles as well as conventions of Indian democracy. Political parties give legitimacy to each other and rightly assume that the circulation of leaders and parties is inevitable in a vibrant Indian society. Jawaharlal Nehruâ€™s compliment to Atal Bihari Vajpayee can be cited in this regard. Nehru predicted Vajpayee would one day become Prime Minister, despite his explicit abhorrence of the latterâ€™s ideology. Moreover, there was a huge gap between Nehruâ€™s Congress and Vajpayeeâ€™s Bhartiya Jana Sangh (BJS) in terms of vote shares in the 1957 Lok Sabha elections. The Congress and BJS secured, respectively, 47.8 per cent votes and 371 seats and 5.98 per cent votes and four seats. The contestations and confrontations based on mutual legitimacy strengthen democracy. They provide courage to the smallest party and individual leader to oppose",,"atal bihari vajpayee, jawaharlal nehru",bhartiya jana sangh,neutral
"Itâ€™s a pun thatâ€™s been doing the political circles for some time now. DK Shivakumar is Congressâ€™s last resortâ€™. In the cess pit that is Indian politics the term horse tradingâ€™ is frequently used. And in this world where MLAs are frequently herded into resorts to shield them from poaching, Shivakumar is looked up in awe, a regent of resort politics. advertisement Who is Doddalahalli Kempegowda Shivakumar, 57, who wanted to have coffee with colleagues but was stopped by the Mumbai Police from doing so? For good reasons he is known as the Congressâ€™s troubleshooter, even a kotwal (sentinel). He has taken on Bharatiya Janata Partyâ€™s master strategist Amit Shah twice in the recent past and come out trumps. Rewind to May 2018 after the Karnataka assembly results were declared. In the 225-member assembly BJP was the single-largest party with 105 MLAs. Congress won 79 and Janata Dal (Secular) 37. Corralling colleagues Grabbing the opportunity Congress inked an alliance with JD (S) to keep BJP from grabbing power. The man chosen to keep the alliance flock together was DK Shivakumar. Not only did he keep a strict eye on the alliance lawmakers -- media reports say he did not even",,amit shah,bjp,neutral
"Written by K Nageshwar K Kavithaâ€™s letter to her father and BRS (Bharat Rashtra Samithi) supremo K Chandrashekhar Rao (KCR) has triggered a political flutter. Speculation is rife about the future course of events in the pink party and its first family. Advertisement Kavitha, who is currently an MLC and a former MP, raised a variety of issues in her six-page letter, ranging from KCRâ€™s style of functioning and organisational lapses to what she considered shortcomings in the partyâ€™s political positions. Her remark that the BRSâ€™s soft approach to the BJP has sent wrong signals led to rumours that they could go for an alliance in the future. She was referring to KCR attacking the BJP for only about two minutes during BRSâ€™s silver jubilee plenary, while his entire tirade focused on Congress rule. BRS leaders, however, refute Kavithaâ€™s charges. Speaking to this author, BRS MLC Dasoju Sravan Kumar said that KCR has his own style of public communication, and in the recently held Warangal meet, he wanted to send a message that he is battle-ready. Notwithstanding such a defence, KCR certainly demonstrated a soft approach towards the BJP â€” an allegation his daughter rightly pointed out. Indeed, the BRS",,,bjp,neutral
"What a triumph for all Indians the general elections have been. This vote was a giant point of pride for democracy-loving people everywhere, especially in these turbulent geostrategic times. The polls will stand as a testament to the democratic spirit of the Indian people, whose voices have been heard from the furthest villages in the Himalayas to the giant cities of the plains to the hamlets in the Nicobar Islands. As the worldâ€™s two largest democracies, the free-spirited people of India and the US foster a deepening trust and mutual admiration, inspiring optimism about the promising future of India and its relations with America and the world. The flags of the United States and India adorn a conference table during a meeting between US Defense Secretary Jim Mattis and the Defence Minister of India Nirmala Sitharaman at the Pentagon in Washington, DC on December 3, 2018. (Photo by ROBERTO SCHMIDT / AFP) (AFP) Embracing the philosophy of â€œkaizenâ€ (constant improvement) from Japan, a Quad partner, there are several areas where the collective efforts of India and the US can be intensified to continue growth and achievements. First, Indiaâ€™s appeal as a destination for foreign investment that yields know-how, jobs, and",ministry of defence,nirmala sitharaman,,neutral
"Times of Indiaâ€™s Edit Page team comprises senior journalists with wide-ranging interests who debate and opine on the news and issues of the day. Todayâ€™s MLC election in Maharashtra is a trailer to the potboiler that the stateâ€™s assembly polls will be Itâ€™s match time again in Maharashtra. If the Lok Sabha election was considered a semifinal to Octâ€™s high-stakes assembly poll, the vote today to elect 11 legislative council members is no less significant. Maharashtra, one of six states with a legislative council, has 78 members, 30 of whom are elected by MLAs. All eyes are on the 274 MLAs expected to cast their vote today to elect these 11 members from 12 candidates. Cross currents | If all goes to plan â€“ and safe to say no one expects it to â€“ Mahayuti is set to win 9. BJP has 5 nominees, Shinde Sena 2 and Ajit Pawar 2. MVA has fielded 3, though it can win two, given its numbers in the lower house. Then thereâ€™s Uddhav Thackerayâ€™s swag, â€œWe wouldnâ€™t have fielded a third nominee had we not been confident.â€ Itâ€™s crunch time. Simply cross | Flashback to June 2022â€™s MLC election has parties jittery. Matters",,"eknath shinde, ajit pawar","bjp, shinde sena",neutral
"But itâ€™s different this time. Mayawatiâ€™s supporters and voters are no longer sure if Mayawati still commands the unquestioned loyalty of Dalit voters. This is no big deal, sympathisers of Mayawatiâ€™s Bahujan Samaj Party (BSP) might say. People have been joining and leaving the BSP forever. The vote is cast in Mayawatiâ€™s name. The rest are mercenaries for hire. Last week, more than a thousand workers of the Bahujan Samaj Party in Basti district of eastern Uttar Pradesh quit and joined , wait for it, the Samajwadi Party. They were led by a local BSP leader of some standing, along with one former MP and two former MLAs. Also read: The unlikely winners in a CAA debate between Amit Shah and Owaisi, Kejriwal, Mayawati Spoilsport Behenji The proof was the 2019 Lok Sabha election. The Samajwadi Party (SP) and the BSP fought on almost equal number of seats. The BSP won 10, the SP five â€“ a clear indication that many Dalit voters did not listen to Mayawatiâ€™s advice to vote for the SP. If Mayawati is unable to make her vote transfer, is she really the supreme leader of Dalits? But Dalits might still vote for Mayawati, the BSP",,amit shah,,neutral
"The recently announced schedule of the Lok Sabha election, spanning seven phases spread across 44 days, has stirred controversy among opposition parties in India. They have criticised the Bharatiya Janata Party (BJP)-led Centre, alleging that the extended schedule is designed to afford ample time for the Prime Minister to tour extensively and for the BJP to mitigate anti-incumbency sentiments. Opponents argue that a multi-phase election unfairly favours the ruling party, particularly due to their significant financial resources. The ruling BJP, however, contends that the increasing number of voters necessitates adjustments in the election schedule to ensure the integrity of the electoral process. Historically, the election schedule has witnessed a cyclical pattern since India's inaugural polls in 1951-52. Initially spanning 120 days, it reached a low of only four days in 1980. Subsequently, the duration fluctuated, reaching 27 days in 1991, dropping to 11 days in 1996, and then rising to 12 days in 1998, and further to 29 days in 1999. It dipped to 21 days in 2004, before climbing to 28 days in 2009. Since then, the duration has steadily increased, culminating in the current 44-day schedule for 2024. The question arises: does a longer election schedule benefit an",,,bjp,anti
"Six weeks, thousands of registered political parties, 97 crore eligible voters. Indiaâ€™s General Election of 2024 was the biggest in history. It was also a template for a post-truth, post-climate change democracy. With summertime temperatures climbing to 45 degrees and higher, campaigning and running the election machine was extremely challenging for political parties. A stifling media environment with legacy news channels and most newspapers held captive by the ruling establishment and Prime Minister Narendra Modiâ€™s government added to the uphill task for all Opposition parties. We in the Opposition â€” struggling to breathe in the limited space Indiaâ€™s Modi-fied democracy allowed us â€” were not the only ones trying to cope. The hapless Indian voter was also desperately attempting to keep herself informed and aware as she determined her franchise. What were the issues and themes that resonated with her or her fellow citizens? What was the truth behind the battery of data and the information blitz coming her way from the BJP and the government? In a media environment of compromise and negotiable facts, how does one delineate right from wrong? Simply put, how do you get the other point of view? Advertisement There was a time when this",central government,narendra modi,bjp,anti
"The reaction from Rajvi was swift and sharp. Expressing shock and disbelief, he termed the decision as â€œan insult to the legacy of Bhairon Singh Shekhawat.â€ Recalling how Shekhawat had nurtured the party for decades in the state, Rajvi also questions with what face the BJP will celebrate Shekhawatâ€™s birth centenary due to begin on 23 October when his own family is being treated so shabbily. Questioning Diyaâ€™s credentials as she â€œneither had communication nor connect with party cadresâ€, Rajvi wonders â€œwhy the party is blessing a family that connived with Mughals and even fought against Rana Pratap, the iconic hero of Rajasthan.â€ The reference is clearly to one of the most embarrassing chapters in the history of Jaipur royals who not only got Jodha Bai married to emperor Akbar but also had Maharaja Man Singh lead the Mughal forces against Rana Pratap in battle. BJP insiders say the decision to dump Rajvi and ensure a â€˜safe seatâ€™ for Diya is because the partyâ€™s top brass envisages a bigger role for Diya and hopes to encash her royal lineage to fill the vacuum created by sidelining Raje.",,"bhairon singh shekhawat, diya kumari",bjp,anti
"When Arvind Kejriwal launched the Aam Aadmi Party (AAP) in 2012, many dismissed it as a fly-by-night venture. He had no political experience. He was a former tax official, an RTI activist, and the driver and beneficiary of Anna Hazareâ€™s anti-corruption movement in 2011. During these 10 years, two things happened: BJPâ€™s surge and Congressâ€™s decline. And the link between the two has been AAPâ€™s emergence as a national political player. advertisement HOW AAP IS BECOMING A NATIONAL PARTY A national party needs to have two per cent of Lok Sabha seats in a minimum of three states. This means 11 seats. AAP has zero Lok Sabha MPs. Leaders such as Raghav Chadha and Sanjay, who are seen in Parliament, are Rajya Sabha members. The other criterion is that the aspirant must have state party recognition in four states. For state party recognition, a party needs six per cent votes/two seats in a state assembly election, or three seats if its vote share is less than six per cent. This is where AAP scores. It has governments in Delhi and Punjab with huge mandates. In Goa, the party meets the six per cent votes/two seats requirement. And now, the party",,,bjp,neutral
"On Thursday, just before INDIA bloc could sit and discuss weaponising their alliance, a political explosion shattered Delhi's calm. Government sources provided subtle hints that the agenda for the five-day special Parliament session, beginning September 18, convened between the monsoon and winter editions, could include a legislative move, armed to upset the Opposition's plans. By evening, news headlines said legislation for the Bharatiya Janata Party's 'One Nation One Election' proposal could get pushed in the special session. It triggered a debate - will the law plotted and steered by the BJP, despite all the inherent challenges, end up helping the saffron party against a resurgent Opposition in the throes of uniting? advertisement Even those who walked the neutral opinion zone felt the proposal indicated a mounting sense of worry in the BJP, over the rising Opposition unity index. By Friday afternoon, the government made a visible move - its intent was out. It constituted a High-Level Committee (HLC) headed by former president Ram Nath Kovind to explore the feasibility of a 'One Nation One Election'. On Saturday, a gazette notification presented the mandate of the committee. It said, ""Elections to the House of the People and Legislative Assemblies of States",,ram nath kovind,bjp,anti
"Months before the announcement of national elections, the close of year 2023 couldn't have been better for the BJP, with its thumping victory in the Hindi heartland states of Madhya Pradesh, Rajasthan and Chhattisgarh and its improved tally and vote share in the southern state of Telangana. If at all there was anything more to energise party workers and sympathisers with, Prime Minister Narendra Modi arrived at the BJP headquarters at Deen Dayal Upadhyaya Marg in Delhi, a road named after the organisation's foremost ideologue, and declared, ""a hat-trick of wins is a guarantee of a hat-trick in 2024 polls"". Behind him, a new banner said - ""Sapne nahin, haqeeqat bunte hain; tabhi toh sab Modi ko chahte hain (Not just dreams, he shapes reality. That is why everyone wants Modi)"". A big message conveyed in simple words, easy to understand in almost any part of the country. ""Guarantee"" is the new buzzword in politics. It was not original BJP coinage but lately, when the Congress and a few other opposition parties started using it full throttle to announce pre-poll freebies, Modi adapted it and added his punch - ""Modi ki guarantee ka matlab guarantee poora hone ki guarantee (Modi's",,narendra modi,bjp,pro
"The spat between Bharat Rashtra Samithi (BRS) Minister K.T. Rama Rao and All-India Majlis-e-Ittehadul-Muslimeen (AIMIM) floor leader Akbaruddin Owaisi in the Telangana Assembly last week would have been considered routine but for Mr. Owaisiâ€™s remark that his party will contest 50 seats in the upcoming Assembly elections and win at least 15. This surprised political circles as the AIMIM has been seen as a close ally of the BRS since the bifurcation of united Andhra Pradesh. Also, the remark comes at a time when the BRS is making its foray into national politics with the aim of emerging as a strong opposition party to the Bharatiya Janata Party (BJP) at the Centre. The AIMIM has always taken an anti-BJP stand. Its leaders openly air their reservations about the ruling party at the Centre in a bid to emerge as the champions of the cause of minorities across the country. Though the AIMIM and BRS have never struck an alliance, the AIMIM has always had an understanding with the ruling dispensation, whether it is led by the Congress or the BRS. Since 2013, the AIMIM has been trying to expand its base outside Hyderabad by contesting Assembly elections, but without much",central government,,bjp,neutral
"Young leadership is taking centre stage in Dalit politics around the country and certainly in Uttar Pradesh. Akash Anand, the nephew of the Bahujan Samaj Party (BSP) supremo Mayawati is one, and Chandrashekhar Azad, Bhim Army chief is another. Dalits account for 21% of the stateâ€™s population and have hundreds of subcastes; of them, the Jatavs form the largest group with 11-15% of the population in different pockets of the state. The Jatavs, a more politically conscious group, have remained loyal to BSP, and the â€œDalit ki Betiâ€, as Mayawati once named herself. Anand launched his campaign on April 6 from the Muslim-Dalit dominated Nagina constituency from where another upcoming Dalit leader, Bhim Army chief Chandrashekhar Azad is contesting his first Lok Sabha election as the nominee of four-year-old Azad Samaj Party (Kanshi Ram) that he founded in March 2020. Though many voters are unhappy with the BSP for diluting BR Ambedkarâ€™s, and subsequently, Kanshi Ramâ€™s mission â€” the emancipation of the oppressed classes â€” they are willing to credit Mayawati with their political empowerment and for eulogising Dalit icons. What worries them is not the labelling of the BSP as the B-team of the Bharatiya Janata Party (BJP), but",,,bjp,neutral
"Five years ago, around this time, the UPA or United Progressive Alliance was still alive and possible permutations and combinations of opposition unity were discussed on various forums. The question central to their theme of uprooting Prime Minister Narendra Modi and the ruling BJP was, what would happen in Uttar Pradesh, where the BJP had swept the 2014 Lok Sabha election by winning 73 of 80 seats. Almost everyone in the anti-Modi grouping hoped against hope - if only Mayawati's Bahujan Samajwadi Party (BSP) and Mulayam Singh Yadav's Samajwadi Party could come together, they thought, it would be endgame for Modi. Their wishes came true and more; not just Samajwadi Party and BSP but Ajit Singh's RLD joined that Gathbandhan (grand coalition). The Congress was the hidden partner, as both SP and BSP announced they wouldn't put up any candidate in Amethi and Raebareli against Rahul Gandhi and Sonia Gandhi. The Congress was to return the favour in some seats. The protagonists and supporters of that Gathbandhan, as also of the UPA, dug up an old slogan of the 1990s, ""Mile Mulayam Kanshi Ram Hawa Me Udd Gaye Jai Shri Ram (if Mulayam Singh Yadav and Kashi Ram join hands,",,narendra modi,bjp,
"With the Bihar election just a few months away, political parties think they have found a sure shot mantra of winning votes - yatras and lucrative cash transfer schemes aimed at women. Bihar Chief Minister Nitish Kumar had planned a women-centric tour, the 'Mahila Samvad Yatra', organised by the rural development department of the state government. But his archnemesis and former deputy, RJD (Rashtriya Janata Dal) leader Tejashwi Yadav, got the better of him. Just a day ahead of Nitish Kumar's proposed yatra (December 15), Tejashwi announced the RJD's cash transfer scheme for women. He promised to give Rs 2,500 to eligible women every month under 'Mai-Bahin Maan Yojana'. Tejashwi's announcement at a press conference put Nitish Kumar on the back foot and his advisers told him to come up with better welfare schemes to counter RJD's announcement, then launch his yatra. Other than Tejashwi's cash transfer scheme, Nitish Kumar was also peeved by RJD chief Lalu Yadav's controversial remarks about him. Lalu Yadav accused him of planning the public outreach programme to ""ogle at women"". Lalu's statement drew sharp criticism from the ruling NDA. So, Nitish Kumar has now rechristened his proposed yatra. It will be called 'Pragati Yatra'",department of rural development,,nda,
Pradhan's flippant 'giveaway' of the 'Tamil pride' plank to the DMK has left left BJP leaders based in TN grumbling as well. They had already been toiling hard to face the DMK offensives on delimitation. Shah tried to reasure Coimbatore when he said that TN would not face any loss of strength in the Lok Sabha after the delimitation. His stance has been conciliatory and focused instead on how the DMK had been indulging in distracting attention from the governance issues. But Stalin has sensed that delimitation is going to be a key part of DMK's electoral onslaught on the BJP and has moved to cement his position ahead of the Assembly elections. He has called for a meeting against delimitation on 22 March and is counting on the attendance of Jharkhand Chief Minister Hemant Soren and former Odisha CM Navin Patnaik among others.,,,bjp,neutral
"Live Events (You can now subscribe to our (You can now subscribe to our Economic Times WhatsApp channel When Prime Minister Narendra Modi visited Tamil Nadu and Telangana last week, the chief ministers of these states dog-whistled opposition through measures ranging from broadsides to nuanced moves amid gathering political currents to support a regionalist alternative to national parties.Modi visited Chennai and Hyderabad last week. In Chennai, he unveiled developmental projects worth over Rs 31,000-crore including affordable homes. In Hyderabad, he spoke about the need for innovative leadership at the Indian School of Business. However, chief minister K Chandrashekar Rao was then in Bengaluru to meet JDS chief HD Deve Gowda.Telangana will go to polls in December next year while Tamil Nadu chief minister MK Stalin will soon complete one year in office. Rao and Stalin, commanding large political constituencies, probably sought to convey a message to both BJP and their own voters that they should imagine no softening of stance toward the national party.In his speech that underscored various thorny issues with the Centre such as NEET exemption and use of Tamil as official language at central government offices, Stalin said the state would never hesitate to 'assert its rights'.",central government,narendra modi,bjp,anti
"Live Events (You can now subscribe to our (You can now subscribe to our Economic Times WhatsApp channel Bhopal: The ruling BJP in Madhya Pradesh is aiming to bag all the 29 Lok Sabha seats in the state in the ensuing polls after its stunning victory in the assembly elections four months ago.The BJP would be making all-out efforts to snatch the Chhindwara seat , the only constituency it lost in the state in the 2019 Lok Sabha elections, political observers said. For the Congress , regaining its old charm will be a major task in the crucial parliamentary polls. Lok Sabha polls in Madhya Pradesh will be held in four phases on April 19, April 26, May 7 and May 13. Counting of votes will be held on June 4.The BJP is relying heavily on the mass appeal of Prime Minister Narendra Modi . His image of a nationalistic leader, a man with a vision, result-oriented, someone with global acceptance and a person with no dynastic baggage is seen as the party's potent force for the Lok Sabha polls.Madhya Pradesh BJP unit has a robust organisational setup, and is always in ""election mode"" according to political observers. With Mohan",,narendra modi,bjp,pro
"This article was first published 2 years ago There are lessons for the Congress to learn from the Karnataka elections of how burying the hatchet among top leaders and not washing dirty linen in public can help, says Ramesh Menon. IMAGE: Former Karnataka chief minister Siddaramaiah, right, and Karnataka Congress president D K Shivakumar during celebrations in Bengaluru, May 13, 2023, after the party's win in the assembly elections. Photograph: Shailendra Bhojak/PTI Photo The Congress win in the Karnataka elections was hardly a surprise. The reality of it happening was blowing in the wind even before the elections were announced. The BJP government had little to show the electorate. It was riddled with corruption charges, inflation, unemployment, caste and communal tensions, poor governance, and lack-lustre leadership. That is why Narendra D Modi took over the reins of the campaign addressing 19 meetings and taking part in half-a-dozen road shows when he should have been more invested in running the country's affairs that were bogged down with serious issues like the Manipur disturbances that had paralysed the state. The party heavily banked on him to turn the tide and fight anti-incumbency. It did not jell. The BJP aggressively fought this election",,narendra modi,bjp,anti
"The news from Karnataka is in, and it will not be welcome for the state opposition, led by H D Kumaraswamy's JD(S) and Siddaramaiah's Congress. The bye-elections are a sweep for the ruling BJP, for whom B S Yediyurappa can now lead a majority, and, probably, a stable state government. Remember the context here: the BJP emerged as the single largest party in the last assembly elections, but the Congress - which was the incumbent - allied with the JD(S) after the polls and installed Kumaraswamy, whose party had in fact come third, as the Chief Minister. (This was hailed at the time as a strategic masterstroke, much like the current reaction to the motley alliance in Maharashtra). Some predicted the Congress-JD(S) alliance would last only as long as the general elections in 2019 - and, in the end, such expectations were not far off the mark. After one or two abortive attempts to topple Kumaraswamy, the BJP finally succeeded, thanks to the defection of 16 legislators from the ruling alliance. We need have no illusions about what happened. Nobody thinks they switched because of a change of heart or an ideological crisis of conscience. These legislators thought they could",,b s yediyurappa,bjp,pro
"In reality, only a very minimal percentage of the government staff, and NOT the entire staff, is posted on election duty throughout the country during Lok Sabha polls, and it is even less for state assembly elections. Moreover, the period for election duty can last between 1-14 days at the most. Thus, to argue that to avoid wastage of government officersâ€™ loss of working days we must have â€˜one nation, one electionâ€™, is misleading. Then there is the argument that by holding the elections together and only once in five years, will save a lot of expenditure. The figures given in support of this argument are an estimated Rs 60,000 crores, that was spent by political parties during the 2019 general elections. It is further estimated that out of this amount, more than 50 percent was spent by the BJP. While it is true that elections are becoming costlier, however, legally speaking the actual cost of the election should not be more than Rs 4,000 crore (543x0.7x5 = Rs 1900 crore + Rs 1,100 crore for political parties + Rs 1,000 crore for independents, and other miscellaneous expenses). There is a ceiling of Rs. 0.7 crore on election expenses for",,,bjp,neutral
"It has even invited mockery from his political opponents, with one of them suggesting he change his name to â€˜ Rafale Gandhi â€™ and another stating that he suffers from a disease called â€˜ Rafale-iya â€˜. Party president Rahul Gandhi has led the charge. He has made Rafale the cornerstone of his campaign against the government and more specifically, PM Modi. He holds press conferences on Rafale almost weekly, he speaks about it at almost every campaign rally, he addressed the issue in Parliament and it even dominates his Twitter timeline. For somebody who was once known for rarely speaking to the press, giving very few speeches in Parliament and being inactive on social media, Mr Gandhiâ€™s communication blitzkrieg on Rafale has taken many by surprise. Barring what is likely to be only a temporary halt due to the Pulwama terror attack , the Congress party has been relentless in its focus on trying to expose the alleged corruption in PM Narendra Modi governmentâ€™s Rafale deal. Also read: Decoding the Rafale numbers: Where Rahul Gandhi and Modi government went wrong The Rafale plank Many political observers have suggested that the Congress president is making a mistake by choosing Rafale as",central government,narendra modi,,neutral
"The inability of any one political party to win a majority on its own makes alliance formation crucial for winning an election in Bihar. This has been the story of the last seven assembly elections and continues to be the story now. Neither of the two national parties, the Congress and BJP, nor the two dominant regional parties, the JD(U) and RJD, are in a position to win a majority on their own. Smaller regional parties like the Lok Jan Shakti Party (LJP), Hindustan Awam Morcha (HAM) of Jitan Ram Manjhi, Rashtriya Lok Samata Party (RLSP) of Upendra Kushwaha or Vikassheel Insaan Party (VIP) of Mukesh Sahani enjoy limited support. Nitish Kumar is a popular chief minister but his capacity to win votes for his party remains limited, given its presence in only a few districts. Even at his peak, Lalu Prasad was unable to win a majority on his own. This political plurality makes alliance key to the electoral success. Any alliance which has two of the three major parties â€” the JD(U), BJP and RJD â€” enjoys a definitive lead over its rivals. The verdict of various elections in Bihar over the last few decades has never defied",,,"bjp,jdu",neutral
"India already has close to 900 million eligible voters and an estimated half-a-billion have internet access. When India votes in a general election next year, it will be the worldâ€™s largest democratic exercise, and the biggest ever test of the role of social media in an election. As the ruling Bharatiya Janata Party (BJP) readies for battle with the newly energised Congress party-led opposition in the election that must be held by May, the role of Facebook, Twitter and WhatsApp could be crucial in deciding who wins. Advertisement India already has close to 900 million eligible voters, and an estimated half-a-billion have access to the Internet. The country has 300 million Facebook users and 200 million on Facebookâ€™s WhatsApp messaging service - more than any other democracy. Millions use Twitter. â€œSocial media and data analytics will be the main actors in the upcoming India elections. Their use would be unprecedented as both parties now use social media,â€ said Usha M. Rodrigues, a communications professor at Deakin University in Melbourne, Australia, whose research has focused on social media and Indian politics. The potential for abuse is also immense, with incendiary news and videos capable of fanning violence in the sprawling multi-religious",,,bjp,neutral
"As India prepares for assembly bypolls in 13 constituencies across seven states today, the political landscape is tense and charged with anticipation. These elections follow the closely contested 2024 Lok Sabha elections where the Bharatiya Janata Party (BJP) secured 240 seats, falling short of a full majority and thus having to rely on its allies to form the government. This outcome has heightened the significance of every subsequent electoral contest for the BJP, making these bypolls particularly critical.",,,bjp,neutral
"Elections are won by opponents who know how to exploit anti-incumbency and capitalise on their rivalsâ€™ mistakes. You could give credit to Raghubar Das, Jharkhandâ€™s unpopular chief minister, and if youâ€™re brave, you could also wonder about the election strategies of the BJPâ€™s Chanakya, Home Minister Amit Shah. Yet, there are few governments that survive anti-incumbency, and there is no election strategist who does not make mistakes. The credit for the resounding victory of the Jharkhand Mukti Morcha-led alliance in the assembly election Monday goes to only one man: Hemant Soren. It is no mean achievement to defeat the Bharatiya Janata Party juggernaut led by Prime Minister Narendra Modi a few months after the party swept the 2019 Lok Sabha election. Thatâ€™s what Hemant Soren did very well in the Jharkhand assembly election. Unlike leaders of the Congress party, Soren did not wring his hands and blame the Indian media, the voter, Hindutva politics or the BJPâ€™s use of nationalism. Instead of making excuses, he went out and performed his duty as an opposition leader. Also read: Jharkhand verdict has a message for turncoats â€” donâ€™t switch sides just before polls Positive campaigning Even though his party was washed out",ministry of home affairs,"raghubar das, amit shah, narendra modi",bjp,
"With the Union government introducing two Bills in the Lok Sabha to implement its idea of simultaneous elections to the Lok Sabha and the State Assemblies, the stage is set for Parliament to debate the feasibility, or otherwise, of the idea of what the government calls â€œOne Nation, One Electionâ€. With the Opposition pressing on a division of votes on the introduction of the Bill â€” 263 for and 198 against â€” the writing on the wall was clear. The government does not have the two-thirds majority in Parliament to pass the constitutional amendments to facilitate simultaneous elections. A 39-member House panel will examine the two Bills. The content in the Bills themselves are in line with the recommendations of a committee headed by former President of India Ram Nath Kovind that envisaged simultaneous Lok Sabha and Assembly elections as a first step, followed by municipal and panchayat polls within 100 days of the general election. For the amendments to conduct municipal elections, they would have to be ratified by at least half of the State Assemblies. The Constitution Amendment Bill seeks to add a new provision that will provide for the timeline for simultaneous elections and as per the",central government,ram nath kovind,,neutral
"This article was first published 2 years ago The BJP leadership knows it can't boast of governance in the state as the Bommai government has little to show. So, the game plan is to project Modi, who will reiterate how important it is for a state to have the same party ruling in power at the Centre, observes Ramesh Menon. IMAGE: Narendra D Modi, the Bharatiya Janata Party's primary electionm campaigner, addresses the Vijaya Sankalpa Yatra Mahasangama in Davangere, March 25, 2023. Photograph: Karnataka BJP/Twitter The Karnataka assembly elections on May 10 will be critical for both the Bharatiya Janata Party and the Congress as the results will determine how the political scenario will change in India. State assembly elections are scheduled later this year in Rajasthan, Madhya Pradesh, Telangana and Chhattisgarh. Both these parties have to do well there too to create an environment for doing well in th next year's Lok Sabha elections. The BJP knows it has to win Karnataka as it is presently the only southern state it rules. A win will make it easier to spread their influence in the south where it has a poor presence and also shed the label of how it",,"basavaraj bommai, narendra modi",bjp,anti
"As the country battles a second wave of coronavirus, four Indian states and one Union Territory await new governments in less than three days, with counting of votes polled in the five assembly elections is scheduled for May 2. Puducherry saw a contest between the Congress-led United Progressive Alliance (UPA) â€” which lost its majority just before the election schedule was announced â€” and the National Democratic Alliance (NDA), which is led by AINRC of N Rangasamy in the Union Territory. The BJP is a junior partner in Puducherry NDA. advertisement In Kerala, the main electoral fight was between incumbent Left Democratic Front (LDF) led by the CPI-M and the Congress-led United Democratic Front (UDF). The BJP is likely to play a minor role. The Dravida Munnetra Kazhagam (DMK) and All India Anna Dravida Munnetra Kazhagam (AIADMK) led alliances were the main poles of competition in Tamil Nadu, whereas in West Bengal, the BJP got all guns blazing trying to dislodge the Trinamool Congress from power. BUT ASSAM IS UNIQUE In Assam however, the BJP contested to retain power for another term. Assam is the only state where the BJP is in power. The saffron party leads the Mitrajot (Alliance",,n rangasamy,"nda, bjp",neutral
