Sentence,Aspect Term,Polarity
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,Negative
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,Negative
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",operating system,Positive
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,Negative
The video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better.,video chat,Negative
The video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better.,quality,Negative
That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,mouse,Positive
"Fan vents to the side, so no cooling pad needed, great feature!",Fan,Positive
"Fan vents to the side, so no cooling pad needed, great feature!",cooling pad,Positive
"Fan vents to the side, so no cooling pad needed, great feature!",feature,Positive
"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.",software,Positive
Wasted me at least 8 hours of installation time.,installation time,Negative
"It has far exceeded my expectations for power, storage, and abilitiy.",power,Positive
"It has far exceeded my expectations for power, storage, and abilitiy.",storage,Positive
"It has far exceeded my expectations for power, storage, and abilitiy.",abilitiy,Positive
"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",spotlight search,Positive
"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",feature,Positive
My wireless system would not recognize Windows 7 and I couldn't get online to find out why.,wireless system,Negative
My wireless system would not recognize Windows 7 and I couldn't get online to find out why.,Windows 7,Negative
I am enjoying it and the quality it provides is great!,quality,Positive
"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",battery life,Positive
"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",speed,Positive
"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!",OS,Positive
"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!",OS,Positive
"iTunes is a handy music-management program, and it is essential for anyone with an iPod.",iTunes,Positive
"iTunes is a handy music-management program, and it is essential for anyone with an iPod.",program,Positive
Mac is not made for gaming.,gaming,Negative
"Well I spilled something on it and they replaced it with this model, which gets hot and the battery doesn't make it through 1 DVD.",battery,Negative
"I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.",Apple support,Positive
"I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.",techs,Positive
But Sony said we could send it back and be charged for adding the bluetooth an additional seventy something dollars.,adding the bluetooth,Negative
I need graphic power to run my Adobe Creative apps efficiently.,graphic power,Neutral
I need graphic power to run my Adobe Creative apps efficiently.,Adobe Creative apps,Neutral
the programs are esay to use and are quick to process this computer works like a charm.,programs,Positive
the programs are esay to use and are quick to process this computer works like a charm.,use,Positive
The materials that came with the computer did not include the right # anywhere.,materials,Negative
It does not even have the software to play a dvd now.,software,Negative
Tech support tells me the latter problem is a power supply problem and have offered to fix it if it happens again.,Tech support,Neutral
Tech support tells me the latter problem is a power supply problem and have offered to fix it if it happens again.,power supply,Negative
HOW DOES THE POWER SUPPLY NOT WORK!!!,POWER SUPPLY,Negative
Sells for the same as a netbook without sacrificing size.,size,Positive
"Ã‚Â upon giving them the serial number the first thing I was told, was that it was out of warranty and I could pay to have it repaired.",warranty,Neutral
"Windows XP SP2 caused many problems on the computer, so I had to remove it.",Windows XP SP2,Negative
"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.",Windows 7 Ultimate,Negative
"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.",Bluetooth,Negative
"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.",Fingerprint reader,Negative
"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.",software,Negative
None of the techs at HP knew what they were doing.,techs at HP,Negative
"this is my second one and the same problem, bad video card unreliable overall, this will be my second time returning this laptop back to best buy.",video card,Negative
"With awesome graphics and assuring security, it's perfect!",graphics,Positive
"With awesome graphics and assuring security, it's perfect!",security,Positive
"Laptop was in new condition and operational, but for the audio problem when 1st sent for repair.",audio,Negative
I was disappointed when I realized that the keyboard doesn't light up on this model.,keyboard,Negative
It runs perfectly.,runs,Positive
The laptop was very easy to set up.,set up,Positive
Ã‚Â Sometimes the screen even goes black on this computer.,screen,Negative
I recommend for word processing and internet users.,word processing,Positive
I recommend for word processing and internet users.,internet,Positive
Since I've had this computer I've only used the trackpad because it is so nice and smooth.,trackpad,Positive
A longer battery life would have been great - but it meets it's spec quite easily.,battery life,Negative
A longer battery life would have been great - but it meets it's spec quite easily.,spec,Positive
"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip?
 As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",HD,Positive
"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip?
 As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",graphics chip,Positive
"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip?
 As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",components,Negative
"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip?
 As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",DVD burner,Positive
Its fast and another thing I like is that it has three USB ports.,USB ports,Positive
The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,software,Negative
That system is fixed.,system,Positive
"The computer itself was fast, ran smoothly, and had no problems.",ran,Positive
Like the price and operation.,price,Positive
Like the price and operation.,operation,Positive
The brand is tarnished in my heart.,brand,Negative
"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.",components,Negative
"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.",ground loop isolator,Neutral
"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.",price range,Negative
"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.",quality,Negative
I 'have had it for about a 1 1/2 and yes I have had an issue with it one month out of warranty.,warranty,Neutral
"Once open, the leading edge is razor sharp.",leading edge,Negative
Loaded with bloatware.,bloatware,Negative
Maximum sound isn't nearly as loud as it should be.,Maximum sound,Negative
I loaded windows 7 via Bootcamp and it works flawlessly!,windows 7,Positive
I loaded windows 7 via Bootcamp and it works flawlessly!,Bootcamp,Positive
"Great Laptop for the price, works well with action pack games.",price,Positive
"Great Laptop for the price, works well with action pack games.",action pack games,Positive
"Great Laptop for the price, works well with action pack games.",works,Positive
"Although the price is higher then Dell laptops, the Macbooks are worth the dough.",price,Negative
I would not recommend this to anyone wanting a notebook expecting the performance of a Desktop it does not meet the expectations.,performance,Negative
"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",twin packing,Positive
"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",functions,Positive
"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",twin packing,Positive
"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",functions,Positive
So what if the laptops/mobile phones look chic and cool? The after sales support is terrible.,after sales support,Negative
So what if the laptops/mobile phones look chic and cool? The after sales support is terrible.,look,Positive
I hate the display screen and I have done everything I could do the change it.,display screen,Negative
I also like the acer arcade but these were reallythe only two things I liked about this laptop.,acer arcade,Positive
"Have not yet needed any customer support with this yet so to me that is a great thing, which is leaps and bounds ahead of PC in my opinion.",customer support,Neutral
"I gave it to my daughter because I just hated the screen, hated that it had no cd drive to at least play cd's when I wanted to listen to music and do schoolwork.",screen,Negative
"I gave it to my daughter because I just hated the screen, hated that it had no cd drive to at least play cd's when I wanted to listen to music and do schoolwork.",cd drive,Negative
It runs very quiet too which is a plus.,runs,Positive
but it has a major design flaw.,design,Negative
"It was heavy,bulky, and hard to carry because of the size.",size,Negative
The games included are very good games.,games,Positive
The games included are very good games.,games,Positive
"this computer will last you at least 7 years, thats an amazing life spanned an electronic.",life,Positive
I had something else go wrong and they said it had to be in good working order to be able to buy the warranty.,warranty,Negative
Sometimes you really have to tap the pad to get it to worki,pad,Negative
It's super fast and a great value for the price!,value,Positive
It's super fast and a great value for the price!,price,Positive
"Three, the mac book has advantages over pcs' with linux based os there is very 'few problems with system performance when it comes to a mac.",system performance,Positive
"Three, the mac book has advantages over pcs' with linux based os there is very 'few problems with system performance when it comes to a mac.",linux based os,Negative
A mac is very easy to use and it simply makes sense.,use,Positive
"however, I may have inadvertently thrown out one of the batteries with the shipping carton.",batteries,Neutral
"however, I may have inadvertently thrown out one of the batteries with the shipping carton.",shipping carton,Neutral
It is so much easier to use,use,Positive
There is no need to open a program first and the cliick open or import.,program,Neutral
It is so nice not to worry about that and the extra expense that comes along with the necessary virus protection on PC's.,virus protection,Negative
"Three weeks after I bought the netbook, the screen quit working.",screen,Negative
"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",processor,Positive
"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",OSX 16,Positive
"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",graphics,Neutral
"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",hardware,Neutral
"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",software,Neutral
I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.,Intel Core processors,Neutral
I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.,HDMI port,Neutral
"The Apple will run Internet Explorer, but at an amazingly slow rate.",Internet Explorer,Negative
"With today's company fighting over marketshare, its a shame that ASUS can get away with the inept staff answering thephone.",staff,Negative
"The price premium is a little much, but when you start looking at the features it is worth the added cash.",price premium,Negative
"The price premium is a little much, but when you start looking at the features it is worth the added cash.",features,Positive
I can't say enough of how satisfied I am with their product and help aftermarket.,product and help aftermarket,Positive
Microsoft word was not on it andI had to buy it seperately.,Microsoft word,Negative
"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.",usb ports,Neutral
"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.",sd memory card reader,Neutral
"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.",sd memory car expansion,Neutral
"I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.",LaCie 2Big external drive,Neutral
"I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.",firewire 800 interface,Positive
"I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.",Time Machine,Neutral
"My Toshiba did not have sound on everything, just certain things.",sound,Negative
"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.",extra features,Positive
"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.",windows 7 home premium,Positive
The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,Acer screen,Negative
The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,USB port,Negative
The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,boot,Negative
The battery life was shorter than expected.,battery life,Negative
It fires up in the morning in less than 30 seconds and I have never had any issues with it freezing.,fires up,Positive
The keyboard is top notch.,keyboard,Positive
It drives me crazy when I want to download a game or something of that nature and I can't play it because its not compatable with the software.,software,Negative
The online tutorial videos make it super easy to learn if you have always used a PC.,online tutorial videos,Positive
"The image is great, and the soud is excelent.",image,Positive
"The image is great, and the soud is excelent.",soud,Positive
With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,windows,Negative
With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,boot up,Positive
With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,shut down,Positive
With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,windows,Negative
It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.,Mac OS,Positive
It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.,use,Positive
"It is well worth the money it cost, Very good investment.",cost,Positive
"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",Windows 7 Starter,Positive
"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",Windows 7 Home Premium,Positive
"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",Windows 7 Professional,Positive
This computer had exactly the specifications I needed.,specifications,Positive
My kids (and dogs) destroyed two power cords by pulling on them.,power cords,Neutral
"I had upgraded my old MacBook to Lion, so I kind of knew what I was getting, but hadn't been able to enjoy some of the awesome new multi-touch features.",multi-touch features,Positive
"The screen is a little glary, and I hated the clicking buttons, but I got used to them.",screen,Negative
"The screen is a little glary, and I hated the clicking buttons, but I got used to them.",clicking buttons,Negative
"Not to mention, the battery life is absolutely amazing.",battery life,Positive
Windows also shuts the computer down for no reason without warning.,Windows,Negative
not using wired lan not sure what thats about.,wired lan,Neutral
The macbook rarely requires a hard reboot.,hard reboot,Positive
Now for the hardware problems.,hardware,Negative
Anyways I bought this two months ago and when I first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone.,hard drive,Negative
It's fast and has excellent battery life.,battery life,Positive
Apple care included.,Apple care,Positive
Features like the font are very block-like and old school.,font,Negative
Features like the font are very block-like and old school.,Features,Negative
"It is loaded with programs that is of no good for the average user, that makes it run way to slow.",programs,Negative
"It is loaded with programs that is of no good for the average user, that makes it run way to slow.",run,Negative
"I feel that it was poorly put together, because once in a while different plasticÃ‚Â piecesÃ‚Â would come off of it.",plasticÃ‚Â pieces,Negative
"Finally, I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time.",2GB RAM stick,Neutral
Windows is also rather unsteady on its feet and is susceptible to many bugs.,Windows,Negative
"After sending out documents via email and having recipients tell me they could not open the documents or they came through as gibberish, I broke down and spent another $100 to get Microsoft Word for Mac.",Microsoft Word for Mac,Negative
DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE.,WARRANTY COMPANY,Negative
then on top of it all their cusromer service center is in the middle east.,cusromer service center,Negative
The only bad part is the size/weight.,size,Negative
The only bad part is the size/weight.,weight,Negative
The little battery that it did have would only last about an hour while just having it on the desktop.,battery,Negative
I liked the aluminum body.,aluminum body,Positive
Its good for playing my apps on Facebook or watching movies.,watching movies,Positive
Its good for playing my apps on Facebook or watching movies.,playing,Positive
"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",build quality,Negative
"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",performance,Negative
"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",dock,Positive
"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",program,Neutral
"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",program,Neutral
pretty much everything else about the computer is good it just stops working out of no were.,working,Negative
It was truly a great computer costing less than one thousand bucks before tax.,costing,Positive
"Waiting for the i7 was well worth it, great value for the price.",price,Positive
"Waiting for the i7 was well worth it, great value for the price.",i7,Positive
"Now,,,,,my monitor has been acting up for about 2 months.",monitor,Negative
"Also, the extended warranty was a problem.",extended warranty,Negative
Boots up fast and runs great!,Boots up,Positive
Boots up fast and runs great!,runs,Positive
Lightweight and the screen is beautiful!,screen,Positive
I needed a driver for my HP and they would not help me with out me paying over $50 for it.,driver,Negative
"Call tech support, standard email the form and fax it back in to us.",tech support,Negative
They sent it back with a huge crack in it and it still didn't work.,work,Negative
"Ã‚Â A coupla months later, they change my hard drive.",hard drive,Negative
They say sorry out of warranty.,warranty,Negative
I bought this laptop because of the performance to price ratio.,performance,Positive
I bought this laptop because of the performance to price ratio.,price,Positive
PC never worked right even after BIOS fixed.,BIOS,Negative
"After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.",design,Positive
"After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.",tech issues,Positive
The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.,size,Positive
The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.,space,Negative
The service I received from Toshiba went above and beyond the call of duty.,service,Positive
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",memory,Positive
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",speed,Positive
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",priced,Negative
I would recommend it just because of the internet speed probably because thats the only thing i really care about.,internet speed,Positive
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",programs,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Garageband,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Photo Booth,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",iPhoto,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",iMovie,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",video-editing,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",movie-making,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",photo management,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",music,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Pages,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Numbers,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Keynote,Neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",school or office use,Neutral
The screen shows great colors.,screen,Positive
The screen shows great colors.,colors,Positive
"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",value,Positive
"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",price,Positive
"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",value,Positive
"I have no idea how to burn cd's or to use the web cam, just for starters.",web cam,Negative
"I have no idea how to burn cd's or to use the web cam, just for starters.",burn cd's,Negative
"The 17 inch screen is very large, but the computer is very light.",17 inch screen,Positive
"Ã‚Â My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge.",support,Negative
"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.",Bluetooth,Negative
"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.",Drivers/Applications DVD,Neutral
"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.",Launch Manager,Neutral
I also liked the glass screen.,glass screen,Positive
The switchable graphic card is pretty sweet when you want gaming on the laptop.,switchable graphic card,Positive
The switchable graphic card is pretty sweet when you want gaming on the laptop.,gaming,Positive
"It's not a wear-and-tear issue, not due to user carelessness and most importantly, they CAN'T guarantee the problem will be solved if it is sent for service and I have to accept the outcome.",service,Negative
"The battery life has not decreased since I bought it, so i'm thrilled with that.",battery life,Positive
"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.",technical support,Negative
I bought this notebook and only had it for 3 months If it is overload with updates the BOOT MGR.,BOOT MGR,Negative
Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.,recovery cd,Negative
The price and features more than met my needs.,price,Positive
The price and features more than met my needs.,features,Positive
Skype is just so dang cool with this machine too.,Skype,Positive
the mouse buttons are hard to push.,mouse buttons,Negative
"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",HDD,Negative
"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",rails,Negative
"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",hard drive,Negative
All I will say now is that it was over two grand less expensive and so much better quality than my hunk of crap Vaio.,quality,Positive
"(Beware, their staff could send you back making you feel that only they know what a computer is.",staff,Negative
Games being the main issue.,Games,Negative
My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit.,GarageBand,Neutral
They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).,warranty,Negative
They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).,hard drive,Neutral
and looks very sexyy:D really the mac book pro is the best laptop specially for students in college if you are not caring about price.,price,Negative
A great computer for light home use and business use.,home use,Positive
A great computer for light home use and business use.,business use,Positive
"Even with virus protection, it always turned off when updates were needed and installed.",virus protection,Negative
"Even with virus protection, it always turned off when updates were needed and installed.",updates,Negative
"Also consider the MS Office apps are all trial versions, hope you have your own copies.",MS Office apps,Negative
"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",feature,Positive
"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",Windows,Positive
"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",games,Positive
The battery life is amazingly long at 7hrs and 5hrs if you use it.,battery life,Positive
"lightweight, long battery life, excellent transition from PC;",battery life,Positive
The price is another driving influence that made me purchase this laptop.,price,Positive
The Nortons virus scan is only for a very short time unlike others that usually are good for a year.,Nortons virus scan,Negative
It is stamped and not in pieces therefore it is a stronger more resilient frame.,frame,Positive
I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.,features,Positive
I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.,use,Positive
Came fully loaded - good.,loaded,Positive
"I noticed windows has a new system called Windows 7, what about us Vista users?Ã‚Â They should get all the bugs out of Vista before investing in a new system.",Windows 7,Neutral
"I noticed windows has a new system called Windows 7, what about us Vista users?Ã‚Â They should get all the bugs out of Vista before investing in a new system.",Vista,Negative
"I noticed windows has a new system called Windows 7, what about us Vista users?Ã‚Â They should get all the bugs out of Vista before investing in a new system.",Vista,Negative
"I noticed windows has a new system called Windows 7, what about us Vista users?Ã‚Â They should get all the bugs out of Vista before investing in a new system.",windows,Neutral
"When we bought our new HP comouter in Dec. of 2008, we wanted Windows XP, but were told it would cost an extra $159, so we went with Vista.",Windows XP,Positive
"When we bought our new HP comouter in Dec. of 2008, we wanted Windows XP, but were told it would cost an extra $159, so we went with Vista.",Vista,Negative
"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.",key broad,Negative
"I'm still within the one year warranty but the repair ""depot"" has deemed that this time it was caused by physical abuse and is not covered.",warranty,Negative
"I'm still within the one year warranty but the repair ""depot"" has deemed that this time it was caused by physical abuse and is not covered.","repair ""depot""",Negative
Ã‚Â But I needed a laptop for school use.,school use,Neutral
This is the complete opposite to an ergonomic design.,design,Negative
I would like at least a 4 hr. battery life.,battery life,Negative
The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.,programs,Negative
"Wireless has not been a issue for me, like some others have meantioned.",Wireless,Positive
"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",battery life,Negative
"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",programs,Negative
"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",trackpad,Positive
"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",programs,Positive
"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",navigating,Positive
I guess the only good thing that came out of these were the speakers and the subwoofer.,speakers,Positive
I guess the only good thing that came out of these were the speakers and the subwoofer.,subwoofer,Positive
Theres a built in camera with special effects- for video and photography.,built in camera,Positive
All for such a great price.,price,Positive
"Ã‚Â Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.",warranty,Negative
Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,left mouse key,Negative
Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,costed,Negative
It has good speed and plenty of hard drive space.,speed,Positive
It has good speed and plenty of hard drive space.,hard drive space,Positive
Clear picture on it and everything.,picture,Positive
"They said that my computer was covered on an extended warranty, and that products withÃ‚Â extended warranties are taken care of through third parties and not Sony itself anymore.",extended warranty,Negative
"They said that my computer was covered on an extended warranty, and that products withÃ‚Â extended warranties are taken care of through third parties and not Sony itself anymore.",extended warranties,Negative
Very long-life battery (up to 10-11 hours depending on how you configure power level settings).,battery,Positive
"Screen is awesome, battery life is good.",Screen,Positive
"Screen is awesome, battery life is good.",battery life,Positive
The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,appearance,Positive
The technical service for dell is so 3rd world it might as well not even bother.,technical service for dell,Negative
The graphics were awful and the warranty isn't even worth the cheap payment on the computer.,graphics,Negative
The graphics were awful and the warranty isn't even worth the cheap payment on the computer.,warranty,Negative
"They gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die.",battery,Negative
"If you don't feel comfortable doing it yourself, just buy the case and be happy, plus it looks nice, I bought the white one from Best Buy.",case,Positive
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",performance,Negative
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",price,Negative
